glusterfs 1:10.3-2.1
gmp 6.2.1-2.1
gnome-desktop-4 1:43.2-1.1
gnome-desktop-common 1:43.2-1.1
gnome-keyring 1:42.1-2.1
gnome-screenshot 41.0+r25+g45f08f0-1.1
gnupg 2.2.41-1.1
gnutls 3.8.0-1.1
gobject-introspection-runtime 1.76.1-1.1
gperftools 2.10-1.1
gpgme 1.19.0-3.1
gpick 0.3-1.1
gpicview 0.2.5-8.1
gpm 1.20.7.r38.ge82d1a6-4.1
gptfdisk 1.0.9-2.1
graphene 1.10.8-1.1
graphite 1:1.3.14-3.1
graphviz 7.1.0-1.1
grep 3.9-1.1
groff 1.22.4-10.1
grub 2:2.06.r456.g65bc45963-1.1
grub-hook 2.1-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1.1
gspell 1.12.0-2.1
gssdp 1.6.2-1.1
gssproxy 0.9.1-2.1
gst-libav 1.22.1-2.1
gst-plugin-pipewire 1:0.3.67-1.1
gst-plugins-bad 1.22.1-2.1
gst-plugins-bad-libs 1.22.1-2.1
gst-plugins-base-libs 1.22.1-2.1
gst-plugins-ugly 1.22.1-2.1
gstreamer 1.22.1-2.1
gtk-update-icon-cache 1:4.10.1-2.1
gtk2 2.24.33-2.1
gtk3 1:3.24.37-1.1
gtk4 1:4.10.1-2.1
gtkmm3 3.24.7-1.1
gtksourceview4 4.8.4-1.1
gts 0.7.6.121130-2.1
guile 3.0.9-1.1
gupnp 1:1.6.3-1.1
gupnp-igd 1.2.0-3.1
gutenprint 5.3.4-2.1
gvfs 1.50.4-1.1
gvfs-afc 1.50.4-1.1
gvfs-gphoto2 1.50.4-1.1
gvfs-mtp 1.50.4-1.1
gvfs-nfs 1.50.4-1.1
gvfs-smb 1.50.4-1.1
gzip 1.12-2.1
harfbuzz 7.1.0-1.1
harfbuzz-icu 7.1.0-1.1
haveged 1.9.18-1.1
hdparm 9.65-1.1
hicolor-icon-theme 0.17-3
hidapi 0.13.1-2.1
highlight 4.4-2.1
highway 1.0.4-1.1
hplip 1:3.22.10-3.1
htop 3.2.2-1.1
http-parser 2.9.4-1.1
hunspell 1.7.2-1.1
hwdata 0.368-1
hwdetect 2023.02.20-1
hwinfo 22.2-2.1
hwloc 2.9.0-1.1
hyphen 2.8.8-5.1
i3lock-color 2.13.c.4-1
iana-etc 20230306-1
icu 72.1-2.1
ijs 0.35-5.1
imagemagick 7.1.1.4-1.1
imath 3.1.7-1.1
imlib2 1.11.0-1.1
inetutils 2.4-1.1
iniparser 4.1-4.1
intel-compute-runtime 22.43.24595.30-2.1
intel-gmmlib 22.3.3-1.1
intel-graphics-compiler 1:1.0.12812.26-3.1
intel-media-driver 23.1.0-1.1
intel-opencl-clang 15.0.0-1
inxi 3.3.25.1-1
iproute2 6.2.0-2.1
iptables-nft 1:1.8.9-1.1
iputils 20221126-1.1
irqbalance 1.9.2-1.1
iso-codes 4.13.0-1
iwd 2.3-1.1
jansson 2.14-2.1
jasper 4.0.0-1.1
jbig2dec 0.19-1.1
jemalloc 1:5.3.0-1.1
jfsutils 1.1.15-8.1
json-c 0.16-1.1
json-glib 1.6.6-2.1
jsoncpp 1.9.5-2.1
kauth 5.104.0-1.1
kbd 2.5.1-1.1
kcoreaddons 5.104.0-1.1
kdiskmark 3.1.2-1.1
